,review_comment_message,review_score
3,Recebi bem antes do prazo estipulado.,5
4,Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa,5
9,aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho,4
12,"Mas um pouco ,travando...pelo valor ta Boa.
",4
15,"Vendedor confiável, produto ok e entrega antes do prazo.",5
16,"GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU",2
19,Péssimo,1
22,Loja nota 10,5
24,obrigado pela atençao amim dispensada,5
27,"A compra foi realizada facilmente.
A entrega foi efetuada muito antes do prazo dado.
O produto já começou a ser usado e até o presente,
sem problemas.",5
28,relógio muito bonito e barato.,5
29,Não gostei ! Comprei gato por lebre,1
32,"Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.",1
34,"Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.",4
36,"Recomendo ,",5
37,muito boa ,5
38,"Tô completamente apaixonada, loja super responsável e confiável!",5
39,Nada de chegar o meu pedido.,1
43,Muito bom. muito cheiroso.,5
47,"otimo vendedor chegou ate antes do prazo , adorei o produto",5
49,Processo de compra tranquilo e eficiente.,5
50,Tomara q dure pois é de pelinho.,5
51,"recebi somente 1 controle Midea Split ESTILO.
Faltou Controle Remoto para Ar Condicionado Consul",1
55,boa,5
59,MT lindo,5
61,"Ocorreu tudo como contratado sendo a entrega realizada antes do prazo 
 Estou satisfeita
",5
62,"Amei achei lindo ,muito delicado adorei",5
64,"Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo.",4
67,Recomendo o vendedor... ,5
68,"O produto não chegou no prazo estipulado e causou transtorno, pq programei a viagem de férias do meu filho, baseado no prazo. Moro na Bahia e ele em Cuiabá sozinho. Agora, a casa está vazia. ",1
69,"Produto entregue como solicitado, e com muita brevidade. Parabéns!
",5
73,Eu comprei duas unidades e só recebi uma e agora o que faço?,3
75,"Produto bom, porém o que veio para mim não condiz com a foto do anúncio.",3
76,"Produto muito inferior, mal acabado.",1
79,O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!,5
80,Maravilha ,5
87,Entrega no prazo,3
88,Cumpriu o prometido na compra e com o uma entrega em tempo satisfatório ,5
89,Pedi reembolso e sem resposta até momento ,1
90,Super rápido.,5
100,"Satisfeito
",5
103,"estao de parabens... sempre chega com muiiita antecedencia..

Muito obrigada.... ",5
108,OK RECOMENDO,5
110,"Produto chegou, mas meu PC não conseguiu reconhecer as portas USB.",3
111,"Produto de muito boa qualidade, chegou antes do prazo prometido",5
115,"Este foi o pedido
Balde Com 128 Peças - Blocos De Montar 2 un - R$ 25,00 cada (NÃO FOI ENTREGUE)
Vendido e entregue targaryen
Tapete de Eva Nº Letras 36 Peças Crianças 1 un - R$ 35,90 (ESTE FOI ENTREG",1
116,"Entrega muito rápida
Parabéns",5
119,comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois,1
121,"Estava faltando apenas um produto, eu recebi hoje , muito obrigada!
Tudo certo!

Att 

Elenice.",4
127,"A bolsa térmica além de linda é super espaçosa . Produto de acordo com o anunciado e a entrega super rápida , entregou bem antes do prazo .",5
128,Demorou de mais pra entrega ,2
130,super rapido a entrega .... chegou antes da data... ,5
131,A entrega foi dividida em duas. Não houve comunicado do loja. Cheguei a pensar que só haviam enviado parte do produto. ,3
132,Não funciona não faz sincronismo,1
133,Recomendo a todos os clientes,5
135,Gostei ,3
142,OTIMA,5
143,"Gostei muito do jogo de banho.A estampa florida, o bordado, tudo muito bonito. Ótimo produto.",5
145,"Chegou apenas uma peça, mas na nota e na garantia constam as duas joias.",1
149,EU NÃO RECEBI O PRODUTO E CONSTA NO SISTEMA QUE EU RECEBI ALÉM DE PAGAR CARO DO FRETE ,1
150,"Comprei o relógio, unissex e enviaram um relógio feminino, bem menor que as especificações do anúncio.",1
151,Sempre compro na lannister.Pra mim é a melhor loja on-line,5
152,Produto de qualidade excelente,5
159,Ótimo custo-benefício,5
160,OK,5
163,Gostei da atenção com a entrega,5
166," Se fosse vidro tinha quebrado; veio na caixa sem nenhuma proteção por dentro, a caixa estava muito amassada. Desculpe.. mas gosto de comprar de vcs
.",4
167,A peça não serviu,1
168,Comprei o produto dia 25 de fevereiro e hoje dia 29 de marco não fora entregue na minha residência. Não sei se os correios desse Brasil e péssimo ou foi a própria loja que demorou postar.,1
169,"fiz minha compra faz 30 dias e não recebi ainda meu produto.
Precisa melhorar nas entregas",1
170,"Espero receber esta semana, o que não seria tão extravagante, porém...mais atrazo do que isso me faria desistir do baratheon.",5
174,"Entregou no prazo certo, fiquei feliz com a compra que fiz",5
178,Lindo relógio adorei,5
180,"Comprei dois lustres pendentes, com a parceira targaryen e só me enviaram um lustre. Abri reclamação, mas ainda não recebi resposta. Aguardo solução por parte de Lojas lannister.",3
185,Muito bom alta qualidade!,5
188,"Produto bonito, entregue bem valado e dentro do prazo. Recomendo!",5
189,Muito bom,5
190,Faltou 1 produto e os que recebi 1 veio quebrado,1
191,"chegou dentro do prazo e o produto é de excelente qualidade! Acabou as dores nas costas, estou dormindo muito bem!",5
197,aqui está descrevendo como entregue só que ate agora não recebi,1
198,"Acho que rastreando o produto devia ser melhor e mais preciso, mas no geral foi uma ótima experiência ",5
199,Ainda não tive a oportunidade de testar,5
201,Comecei a usar agora ,3
204,nada a declarar,5
207,"Comprar um produto correto na capa mas interno ser outro.???????
",3
210,entrega super rapida,3
212,"Fiz um pedido de 4 garrafas de azeite.Chegaram 2 num dia e as outras 2 quase 48 horas depois.Contato com a loja muito dificil,tanto via e-mail qto por telef.O suspense terminou mas lá não compro mais",3
213,O produto chegou muito rapido e de boa qualidade recomendo o produto,5
221,"Não posso! Estou aguardando a chegada do produto que comprei!Logo que isso aconteça, terei minha opinião formada!",1
223,Comprei dois produtos e recebi somente um. Mandei dois emails para a loja e não tive nenhum retorno. Estou insatisfeita.,1
227,Não recomendaria esta loja nem pretendo voltar a comprar nela.A mercadoria foi entregue após o prazo e quase 1 mês após a compra. No site das lannister costumam chegar antes do prazo. Estranhei muito,3
228,Recomendo,5
229,Atendeu minha expectativa.,4
230,Entrega antes do prazo. Produto muito prático e de fácil manuseio. ,5
235,"otimo produto só nao veio manual, mas sem problemas.",5
236,"Uma das peças não encaixava, estava de diâmetro diferente. Eu tive que serrar e martelar para poder caber e encaixar.
De resto, tudo ok.",4
237,Excelente produto.,5
238,Tudo certo,5
239,"Demora na entrega, detestei o atendimento e NUNCA mais compro. baratheon quando vendia por eles mesmos era bem melhor! ",1
240,Produto muito bom,5
241,o meu produto não chegou... segundo o rastreio está parado em Ribeirão Preto sp... ,1
242,produto deu defeito na 1 vez de uso.,1
244,super recomendo produto profissional de qualidade,5
245,até agora não recebi o produto.,1
248, A loja anuncia um produto e entrega outro.,1
249,muito bom e rapido quando vi ja tinha chegado,5
251,O produto chegou muito bem,5
252,otimo,5
253,"Apesar de ter sido entregue rapidamente, substituíram a caixa METEORO pela caixa BORNE. Quando tentei reclamar nas lannister o sistema estaav fora do ar. A guitarra e acessórios estavam corretos.",3
254,Muito satisfeito,5
255,parabéns para loja e revendedor apesar de ter demorado um pouco,4
257,"Entregue dentro do prazo, e com bom período de validade.",5
258,"O Jogo de toalhas é lindo mais bonito do que na foto, amei.",5
259,produto foi entregue com umas das alças com problemas (está faltando 1 pino de fixação),1
262,Foi marcado o dia 14/02 para entrega do pedido e no rastreamento marcava que o produto já havia sido entregue na data mas na realidade não foi entregue. O produto só foi entregue no dia 28/02.,2
263,"LOJA ALÉM DO FRETE SER MUITO CARO . O PRODUTO LEVA QUASE 30 DIAS ÚTEIS , PARA CHEGAR NA SUA CASA",2
267,"Recebi bem rápido, porém veio outro produto, e não o que eu pedi, o modelo veio diferente, a cor, veio uma capinha que não tem zíper, enfim, não recomendo. ",1
272,sempre comprei no stark e estou satisfeito.,5
273,fiz a compra por tabela e graças A Deus deu tudo certo fico muito grato pode confiar.,5
276,"Cancelaram a minha compra um dia antes da entrega, liguei para a lannister e os atendentes não sabiam o que estava acontecendo, uma bagunça, agora estou esperando para ver se vai ser cobrado",1
279,produto de qualidade e eficiência na entrega. recebi muito antes do combinado. recomendo,5
281,Produto bom veio no dentro do prazo chegou em 08 dias estão de parabéns. ,5
288,"Tudo ok,o baratheon sempre responsável com a suas entregas.",5
292,o acabento que estava na foto era bonito a que chegou foi de um sintetico feio com um acabento todo borrado orrivel nao gostei,1
296,E muito desordenado comprei três produtos mais não veio no dia sertões veio separado e em data separada ,1
297,A,5
298,entrega rapida,5
300,foi bom,4
301,Mercadoria certa entregue no prazo combinado. Grata,5
303,", muito ruim ! ",1
305,Passou dos dias previstos.,1
311,Ao fazer a compra do kit entendi que receberia 2 frascos de 60 cápsulas (cada) e não 2 frascos com 60 cápsulas no total. Só não vou devolver porque estou precisando do produto.,3
313,Entrega bem antes do prazo perfeito!!,5
314,Cada vez que compro mais fico satisfeita parabéns pela honestidade com seus clientes 👏👏👏👏?,5
319,bem rapido a entrega e bom comprar com vcs,5
320,Produto não recomendo não ler em nenhum dispositivo,1
321,"Entrega super rápida, parabéns!",4
324,Tudo rápido e eficiente.,4
327,Creme maravilhoso e entrega super rápida,5
330,"Tentando cancelar o produto desde antes da emissão da nota fiscal. Não fui avisada que estava no correio, não tive nenhuma resposta do cancelamento e nao consigo devolver. ",1
331,"Chegou hoje 
sem comentários",4
332,"Boa Noite

é lamentável, esta loja que tantas compras eu ja fiz e hoje não me da satisfação sequer de um relógio na importância de 50,00 reais ... um produto com defeito e até agora não me deu retor",1
335,Muito bom! Aquilo que esperava!,5
336,A capa protetora não é exatamente o que eu esperava deixa a desejar no tipo material e na qualidade.,2
341,No site o produto parece ter melhor qualidade de material e acabamento.,3
345,"Recebi meu produto corretamente e dentro do prazo,verificando na caixa esta tudo correto,mas ainda não montei.Produto lindo,cor perfeita,amamos.
SUPER RECOMENDO.",5
346,"A embalagem deixou a desejar, por pouco o produto não foi danificado, a caixa estava toda amassada.",3
347,Parabéns .Produto entregue bem antes do prazo.Atendeu às minhas necessidades.,5
348,Recomendo.,5
349,Faltaram os cabos e o manual,3
354,ótimo chegou bem antes do prazo .,5
358,Entregue no prazo produto muito bom.,5
361,"O produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios. Lógico, a embalagem chegou amassada e só deus sabe se o produto está funcionando ou não, ainda não testei.",2
363,Acho q deveriam mandar por sedex ao invés de pac,5
364,"Última vez que compro pois hoje vai fazer 1 mês que fiz a comprar e nada, e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen.",1
369,Lindo... Só faltou instruções da troca de pulseiras.,5
372,"Produto exatamente conforme descrito.
Chegou bem antes do prazo!",5
379,"O produto chegou bem antes do prazo estipulado, amei o atendimento! Super recomendo ",5
380,"Não gostei do produto, material de péssima qualidade.",1
381,"Dos dois produtos comprados, foi entregue apenas um!",1
382,Nao compro mais na lannister. Se é parceiro da lannister ou não essa targaryen jamais uso novamente. Quando eu ler que é dessa empresa saio correndo. Um absurdo. Quase um mês para entregar. Extra.com ok,1
383,Recebi corretamente o produto,3
389,"recebi o produto dentro do prazo informado, ainda não utilizei.",5
